Day of week,Wholesale ($/kWh),Retail ($/kWh),Wholesale w variance ($/kWh),Retail w variance ($/kWh),Bldg Load (kWh),Wind Production (kWh),PV generation (kWh),GHI (Irradiance),apparentTemperature,cloudCover,precipIntensity,windSpeed
3,0.0298221,0.099428457,0.026593076,0.130523354,2666.6,1567.19,2,0.002369321,27.81,0.83,0,10.28
3,0.029995232,0.098756354,0.037072919,0.096232598,2509.9,1322.64,28,0.022763974,28.64,0.79,0.0014,11.37
3,0.030383558,0.09763733,0.026979241,0.094998643,2547.4,1566.25,60,0.061720109,29.45,0.98,0.0017,11.99
3,0.029261841,0.098379977,0.018854858,0.087269997,2541.4,1192.61,120,0.085903952,30.03,0.83,0,13.1
3,0.029380762,0.096876171,0.028694074,0.089136504,2596.6,1836.97,154,0.115532131,31.07,0.98,0,13.24
3,0.029150497,0.095073558,0.029068729,0.120458692,2743.8,1715.98,214,0.099429192,32.47,0.97,0.0016,12.99
3,0.028824712,0.097134996,0.021256945,0.097838388,2551.2,1602.03,153,0.080180738,33.31,0.94,0.0063,13.09
3,0.02957371,0.097487157,0.026353844,0.100868783,2590.8,1425.99,71,0.043620197,33.97,0.94,0.0075,16.44
3,0.030252419,0.101320546,0.031933981,0.115434565,2571.5,1558.45,16,0.011093985,35.52,0.88,0.0032,19
3,0.031594945,0.101740743,0.029811395,0.090463739,2590.8,2416.62,0,0.000169489,35.93,0.72,0.0008,18.35
3,0.030072272,0.098361057,0.036394823,0.10598747,2478.9,1485.71,0,0,35.99,0.75,0,19.66
3,0.029275047,0.094155191,0.019574932,0.11356045,2625.3,1928.83,0,0,35.03,0.78,0.0018,24.4
3,0.028717871,0.09250344,0.022191157,0.105330802,2595.7,1586.39,0,0,33.79,0.72,0,22.73
3,0.028116889,0.091329957,0.030181275,0.104704595,2456.8,2135.41,0,0,32.85,0.75,0,24.15
3,0.026538095,0.089840027,0.026818699,0.084884374,2623.3,1591.27,0,0,31.21,0.37,0,23.97
3,0.026864612,0.085647707,0.02324183,0.094398356,2597.7,1886.28,0,0,29.69,0.31,0,23.72
4,0.025720991,0.085123134,0.023068147,0.085060247,2526.2,864.24,0,0,28.39,0.3,0,24.18
4,0.025577477,0.085116668,0.02150032,0.061494491,2460,1735.35,0,0,27.82,0.39,0,24.61
4,0.026291582,0.084142533,0.027903566,0.067370358,2537.1,1451.83,0,0,27.73,0.45,0,23.91
4,0.025152373,0.085225097,0.025972582,0.123401538,2655.6,1407.68,0,0,27.82,0.42,0,20.56
4,0.025586234,0.084444759,0.02631793,0.094079576,2579.5,1667.34,0,0,28.84,0.75,0,20.71
4,0.025984438,0.088909353,0.025123632,0.088113647,2740.1,2117.99,0,0,29.04,0.72,0.0014,22.22
4,0.02714236,0.091766539,0.026154262,0.083001978,2550.7,1734.17,0,0,30.01,0.75,0.0025,20.11
4,0.029127872,0.095491669,0.036903189,0.082896607,2691.8,1571,0,0,29.62,0.36,0.0018,20.76
4,0.029798896,0.097838409,0.027487136,0.089449988,2666.3,1675.12,2,0.001919753,27.06,0.4,0,21.95
4,0.029948354,0.097270124,0.028439931,0.102283951,2509.9,1182.07,27,0.021672698,24.18,0.55,0,25.22
4,0.029640705,0.099538465,0.032204152,0.065994625,2547.1,1126.17,76,0.065156116,23.43,0.7,0,23.32
4,0.029414103,0.096483224,0.032841053,0.069874611,2540.5,1818.72,137,0.106757184,23.91,0.75,0,22.59
4,0.029201622,0.096947465,0.026857238,0.12177388,2596.7,1006.65,153,0.089474094,24.35,0.69,0,21.29
4,0.028257064,0.09349824,0.03357463,0.092709363,2744.5,1356.11,165,0.116339261,24.64,0.7,0,20.42
4,0.029016592,0.095651844,0.028013642,0.089678899,2551.8,1510.05,94,0.083257095,24.57,0.88,0,19.06
4,0.029280177,0.096814384,0.034731259,0.095231101,2589.8,1615.36,68,0.043410972,24.65,0.72,0,17.9
4,0.030584666,0.100346047,0.017760368,0.112021294,2570.7,1680.97,15,0.010173837,24.27,0.69,0,16.85
4,0.031185285,0.103670299,0.029228565,0.08470493,2591.3,1627.06,0,0.000117148,22.82,0.69,0,17.58
4,0.030297459,0.09892406,0.04280562,0.117560735,2477.9,1822.79,0,0,22.41,0.75,0,16.84
4,0.028644619,0.094744028,0.028413947,0.074807274,2626.3,2060.63,0,0,20.28,0.39,0,17.94
4,0.027991155,0.092894621,0.027140482,0.062017367,2595.9,1783.39,0,0,19.02,0.36,0,16.81
4,0.027903163,0.09233804,0.024581966,0.083794574,2456.7,1987.71,0,0,18.01,0.34,0,15.99
4,0.026609008,0.089254188,0.030158072,0.085224013,2622.6,1666.2,0,0,16.53,0.25,0,15.27
4,0.026119102,0.087952386,0.025981195,0.073193343,2597.6,1113.94,0,0,14.79,0,0,15.17
5,0.0260888,0.086587747,0.026156677,0.084278197,2526.2,1638.96,0,0,14.07,0,0,14.46
5,0.025652959,0.085786775,0.027414316,0.107854167,2460.7,1599.78,0,0,12.48,0,0,14.28
5,0.025315871,0.083225881,0.025382068,0.094981694,2536.6,1262.64,0,0,11.41,0.15,0,14.39
5,0.025173178,0.084060136,0.020154616,0.119402141,2655.5,1487.92,0,0,9.86,0.39,0,14.62
5,0.025841572,0.085802186,0.026304042,0.090339544,2579.1,2304.15,0,0,9.96,0.35,0,13.32
5,0.026564822,0.088110333,0.023249245,0.087566326,2740.1,1888.2,0,0,9.78,0.27,0,12.45
5,0.027276137,0.089861845,0.024192873,0.092724109,2549.8,1664,0,0,8.53,0.25,0,14.22
5,0.029011642,0.09682154,0.03262299,0.105015486,2692.5,1981.8,0,0,8.25,0.53,0,14.48
5,0.029863085,0.098324034,0.02241927,0.098630332,2665.4,1384.49,2,0.002278378,6.97,0.52,0,14.4
5,0.029698148,0.09905754,0.026162033,0.120124711,2509.1,1796.56,25,0.027086017,6.83,0.25,0,13.95
5,0.02969661,0.098333804,0.026997357,0.09951338,2547.1,1615.15,96,0.055121516,6.89,0.25,0,13.89
5,0.029332087,0.098220895,0.030530585,0.094444944,2540.7,882.98,134,0.104617844,7.13,0,0,14.33
5,0.029318659,0.097420966,0.041364451,0.09733018,2597.1,1156.01,179,0.107796881,7.21,0,0,15.67
5,0.028960262,0.09546621,0.032057291,0.103569082,2743.9,1846.37,131,0.135938329,8.11,0.1,0,15.49
5,0.028842016,0.09666781,0.025744732,0.097290029,2550.9,1483.41,121,0.075317422,8.97,0.07,0,14.33
5,0.028976484,0.096416449,0.040237386,0.080367507,2590.4,1663.66,50,0.049111914,8.6,0.16,0,13.19
5,0.030491155,0.099619627,0.028752283,0.100493228,2571.5,1002.21,14,0.010688422,7.69,0.2,0,13.26
5,0.031353889,0.103719881,0.025927345,0.088381622,2590.5,1836.78,0,0.000163099,8.15,0.21,0,11.52
5,0.030266464,0.100410084,0.031754307,0.092113009,2477.9,1732.05,0,0,7.72,0.07,0,11.75
5,0.028984697,0.094270377,0.026420565,0.081926051,2625.9,1666.11,0,0,6.9,0.21,0,11.93
5,0.028349654,0.09215187,0.020579624,0.125622102,2595.7,2132.29,0,0,6.27,0,0,11.25
5,0.028034703,0.09210678,0.024714098,0.093250695,2456.8,1838.41,0,0,5.98,0,0,10.74
5,0.027068085,0.090209059,0.02850519,0.101276827,2622.9,1433.48,0,0,6.63,0,0,9.72
5,0.026626095,0.088517932,0.028126641,0.112642309,2597,1659.63,0,0,6.21,0,0,9.17
6,0.026189862,0.08523689,0.032984148,0.101868301,2525.8,1293.86,0,0,6.56,0,0,8.22
6,0.025824678,0.085295625,0.028996218,0.108243412,2460.7,1621.84,0,0,7.04,0,0,6.65
6,0.025926118,0.083611851,0.028420714,0.069498877,2537.2,1587.33,0,0,7.25,0.07,0,5.75
6,0.025597097,0.084790594,0.019503639,0.074105771,2655.9,1558.19,0,0,7.94,0,0,4.77
6,0.025472508,0.084871425,0.023919761,0.092498238,2578.9,1778.11,0,0,8.58,0.12,0,3.9
6,0.025807867,0.087741698,0.031175454,0.076863985,2740.1,1700.7,0,0,15.07,0.07,0,2.93
6,0.02731026,0.090022977,0.025445743,0.087727819,2550.3,1729.74,0,0,13.78,0.3,0,1.84
6,0.028758785,0.096031548,0.03047631,0.091189186,2691.9,1325.83,0,0,14.43,0.22,0,1.95
6,0.029357504,0.098100989,0.018787467,0.091519773,2666.8,1675.16,2,0.00206779,14.13,0,0,1.81
6,0.029936638,0.099010493,0.025913872,0.125536525,2509.4,1603.02,33,0.025153948,15.06,0,0,2.87
6,0.029931981,0.098296279,0.024294606,0.091395003,2546.5,1645.84,86,0.053705957,18.07,0.1,0,1.16
6,0.029892998,0.097516023,0.029605951,0.079116658,2540.4,1532.86,145,0.099000899,21.61,0,0,1.59
6,0.028901484,0.09453193,0.024766713,0.088324891,2597.3,1169.61,145,0.150508645,23.34,0,0,1.27
6,0.029376908,0.096202231,0.024866474,0.093002772,2743.7,1346.45,139,0.128083398,19.73,0.1,0,3.17
6,0.029099739,0.095481534,0.026112071,0.106902835,2551.7,1239.05,167,0.080406308,19.23,0,0,3.59
6,0.029208296,0.095139482,0.03224962,0.078509918,2590,1474.77,69,0.034542614,18.26,0,0,4.19
6,0.030055048,0.100350126,0.031992082,0.103326644,2570.9,1470.09,19,0.010482611,15.99,0.1,0,3.89
6,0.031490329,0.102584858,0.039737935,0.115643509,2589.8,1743.77,0,0.000168098,14.72,0.26,0,5.22
6,0.029916555,0.099531579,0.029907175,0.097083269,2478,2147.03,0,0,13.93,0.72,0,6.58
6,0.028571433,0.094737727,0.031374021,0.091089667,2625.9,1847.3,0,0,14.57,0.75,0,7.73
6,0.028152496,0.092124492,0.026541832,0.100219512,2595.2,1690.23,0,0,15.27,0.56,0,8.81
6,0.027698218,0.091973357,0.031955366,0.097737284,2456.7,1707.8,0,0,15.33,0.95,0,9.96
6,0.026874101,0.090167082,0.03158525,0.064757388,2623.2,1754.6,0,0,15.49,0.92,0,10.82
6,0.026533789,0.08698029,0.021078116,0.099262261,2597.6,1721.61,0,0,15.98,0.74,0,10.3
7,0.026081112,0.085879676,0.022309809,0.110187889,2525.7,1848.88,0,0,15.3,0.79,0,12.59
7,0.025548573,0.084628016,0.023972962,0.095845616,2460.4,1669.42,0,0,15.41,0.95,0,12.91
7,0.026044281,0.083411258,0.020659743,0.094915038,2536.5,1982.92,0,0,15.28,0.95,0,13.05
7,0.025842754,0.083341283,0.030039164,0.06910131,2655.3,1452.62,0,0,15.28,0.83,0,12.93
7,0.026028831,0.086815366,0.029870669,0.102660892,2579.7,1491.24,0,0,14.92,0.86,0,13.1
7,0.026322748,0.086955668,0.022222391,0.102680717,2740.6,1700.75,0,0,15.52,0.95,0,14.34
7,0.027505738,0.090660021,0.031366566,0.091211095,2549.9,1385.58,0,0,16,0.98,0,15.83
7,0.029032169,0.096287673,0.037621544,0.105833655,2692.1,1539.76,0,0,15.87,0.98,0,16.05
7,0.029308852,0.096606154,0.032806701,0.096805422,2666.1,2137.27,3,0.002192796,16.25,0.89,0.0016,15.24
7,0.030115192,0.098858046,0.035225896,0.122517258,2509.7,1717.04,25,0.01997266,17.02,0.85,0.0054,16.2
7,0.029832841,0.096631261,0.03026472,0.090261687,2546.8,2305.05,107,0.053662833,18.5,0.78,0.0094,15.66
7,0.029175069,0.09637673,0.034835207,0.100388457,2540.7,1592.15,131,0.120425822,20.6,0.83,0.0093,15.14
7,0.029299512,0.096756285,0.023981962,0.10343089,2596.5,943.14,195,0.105622862,22.75,0.98,0.0018,13.67
7,0.029401846,0.095171958,0.027395396,0.097871615,2744.5,1324.34,161,0.1061993,24.04,0.96,0,13.15
7,0.029454199,0.095857662,0.031881413,0.089189485,2552,1916.79,105,0.090468416,26,0.95,0.0023,11.11
7,0.029285867,0.097300535,0.031033185,0.096159645,2590.7,1571.85,56,0.04319003,27.61,0.92,0.0007,9.99
7,0.030233346,0.10193546,0.027519223,0.107129806,2570.3,1508.67,16,0.009859022,28.69,0.94,0.0007,8.91
7,0.031005479,0.102348162,0.026497212,0.106407103,2590.5,1786.79,0,9.48E-05,30.27,0.9,0,6.36
7,0.030084598,0.098437013,0.026781745,0.097940833,2477.9,1919,0,0,33.13,0.9,0,3.4
7,0.02872965,0.096021097,0.036100906,0.120784338,2625.8,2065.58,0,0,31.62,0.94,0,5.2
7,0.028275668,0.09392446,0.027569647,0.095594711,2595.6,1647.12,0,0,28.79,0.75,0.0008,6.98
7,0.028081937,0.089881805,0.025727511,0.108622532,2456.7,2053.36,0,0,27.34,0.96,0.0008,7.9
7,0.027546521,0.091506669,0.027364854,0.080410068,2622.1,1666.7,0,0,26.55,0.95,0,8.11
7,0.026473234,0.087784894,0.018552765,0.097229985,2597.4,2038.18,0,0,26.43,0.78,0,7.89
1,0.025914161,0.085027273,0.028742638,0.089215876,2526.4,1472.58,0,0,25.16,0.82,0,7.78
1,0.025856022,0.084664997,0.023439392,0.089060157,2460.8,1604.88,0,0,25.62,0.95,0,6.74
1,0.025586118,0.082858569,0.026054258,0.09437308,2537.8,1759.69,0,0,25.39,0.94,0,6.77
1,0.025857705,0.083124287,0.025598406,0.079632142,2655.8,1578.17,0,0,25.22,0.94,0,6.8
1,0.025768007,0.085164397,0.028455325,0.09088437,2579.4,1781.58,0,0,26.64,0.95,0,4.75
1,0.026276588,0.086546365,0.027013311,0.117822871,2740.9,2478.73,0,0,25.56,0.95,0,5.1
1,0.027495428,0.090703448,0.03643106,0.089500195,2549.7,1440.53,0,0,25.33,0.95,0,5.04
1,0.028520584,0.095981386,0.033812607,0.082050338,2692.3,1604.41,0,0,25.5,0.95,0,4.59
1,0.030459725,0.097454885,0.02356702,0.086356669,2665.8,1614.68,2,0.002295458,25.25,0.9,0,4.45
1,0.029612526,0.098362484,0.030440462,0.074512873,2509.7,994.77,28,0.030709713,30,0.9,0,2.63
1,0.029408225,0.098950468,0.022311878,0.122657436,2547.1,1371.81,98,0.056050149,29.8,0.88,0,1.41
1,0.029308069,0.097514841,0.025084881,0.102258084,2540.5,1557.17,130,0.095638027,29.8,0.96,0,2.04
1,0.029443072,0.096604953,0.022312403,0.100777509,2597.1,1680.94,169,0.139221119,30.44,0.94,0,2.65
1,0.028702172,0.093982842,0.030675278,0.101126646,2744.1,1793.35,216,0.111344991,30.08,0.95,0,1.95
1,0.029078186,0.097872935,0.031341489,0.094002605,2551.8,1503.95,115,0.093248836,25.76,0.84,0,4.26
1,0.030013338,0.095711446,0.025085652,0.088750159,2590.6,1519.71,66,0.043273267,25.74,0.9,0,4.56
1,0.030347005,0.099085254,0.038182819,0.129558898,2570.9,1878.67,16,0.009256827,26.31,0.92,0,3.78
1,0.030689002,0.104569985,0.028159054,0.099581545,2590.6,1739.36,0,0.00012009,24.96,0.82,0,4.97
1,0.030018743,0.09869605,0.030713581,0.075934203,2478.2,1802.08,0,0,24.44,0.89,0,5.99
1,0.028575699,0.097182475,0.027129825,0.082837395,2626.2,1447.52,0,0,24.69,0.9,0,6.01
1,0.02765276,0.091994454,0.029311018,0.103102336,2595.2,1944.56,0,0,25.84,0.94,0,5.33
1,0.02761578,0.091095131,0.031311205,0.082763328,2456.9,1746.64,0,0,26.14,0.95,0,7.36
1,0.027619356,0.089171766,0.023730308,0.078761426,2622.7,2149.58,0,0,26.18,0.95,0,7.95
1,0.026163002,0.087209239,0.026345328,0.057006975,2597.8,1792.97,0,0,26.11,0.82,0,8.17
2,0.026113878,0.085622052,0.025661926,0.099631685,2525.7,1813.2,0,0,25.7,0.79,0,8.96
